Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
672.903,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
672.903,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
672.903,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
683.332,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 2,1.0,CoordX,30.0,CoordY,207.0,,
714.571,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
714.571,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
714.571,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
718.58,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,52.0,CoordY,210.0,,
739.387,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 2,1.0,,,,,,
739.387,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
739.387,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 4,3.0,,,,,,
751.86,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,34.0,CoordY,211.0,,
772.7819999999999,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
772.7819999999999,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
772.7819999999999,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 1,0.0,,,,,,
788.653,30,Touch Down Event,new rat4,,7,4,Position,1.0,Image 1,0.0,CoordX,3.0,CoordY,211.0,,
810.6519999999999,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
810.6519999999999,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
810.6519999999999,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
819.801,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 2,1.0,CoordX,11.0,CoordY,220.0,,
855.165,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
855.165,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
855.165,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
864.323,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,52.0,CoordY,210.0,,
888.2,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
888.2,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 3,2.0,,,,,,
888.2,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 3,2.0,,,,,,
891.702,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 3,2.0,CoordX,11.0,CoordY,220.0,,
913.1439999999999,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
913.1439999999999,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
913.1439999999999,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 1,0.0,,,,,,
918.285,30,Touch Down Event,new rat4,,7,4,Position,1.0,Image 1,0.0,CoordX,11.0,CoordY,221.0,,
939.187,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
939.187,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
939.187,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
945.316,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,71.0,CoordY,220.0,,
966.107,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
966.107,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
966.107,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 1,0.0,,,,,,
980.068,30,Touch Down Event,new rat4,,7,4,Position,1.0,Image 1,0.0,CoordX,19.0,CoordY,225.0,,
1000.748,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
1000.748,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
1000.748,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
1006.47,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 2,1.0,CoordX,48.0,CoordY,173.0,,
1043.259,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 4,3.0,,,,,,
1043.259,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 2,1.0,,,,,,
1043.259,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 2,1.0,,,,,,
1048.171,30,Touch Down Event,new rat4,,7,4,Position,2.0,Image 2,1.0,CoordX,34.0,CoordY,211.0,,
1069.079,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 3,2.0,,,,,,
1069.079,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 4,3.0,,,,,,
1069.079,32,Whisker - Display Image,new rat4,Images,6,2,Position,3.0,Image 3,2.0,,,,,,
1075.552,30,Touch Down Event,new rat4,,7,4,Position,3.0,Image 3,2.0,CoordX,48.0,CoordY,207.0,,
1097.165,32,Whisker - Display Image,new rat4,Images,6,2,Position,1.0,Image 1,0.0,,,,,,
1097.165,32,Whisker - Display Image,new rat4,Images,6,2,Position,2.0,Image 1,0.0,,,,,,
